Date,Open,High,Low,Close,Volume,Change
2016-01-20,596665.0,603315,592240,596595,8484266,-0.6158328876112815
2016-01-21,598840.0,600820,593740,598565,4724185,0.1445890009379382
2016-01-22,599375.0,601770,594020,597055,3726184,0.2459487819864261
2016-01-25,600440.0,602980,598245,601070,4078270,0.6946182023568677
2016-01-26,602185.0,603530,596820,600435,7205155,-0.4158289517370008
2016-01-27,598195.0,604550,598010,600445,4228519,0.2394274423474801
2016-01-28,598860.0,601155,596600,600115,4555391,0.0693948024930121
2016-01-29,604265.0,601420,596290,599725,5729869,0.1325489513828241
2016-02-01,605075.0,607085,601790,604790,8502486,0.5334286089235611
2016-02-02,603130.0,607990,602595,605275,4917868,-0.0487983137544897
2016-02-03,603850.0,605735,600435,603670,6417801,-0.3590598655815204
2016-02-04,604975.0,606615,599430,603760,7343926,0.3940549620404371
2016-02-05,598110.0,606150,601245,603190,3205314,-0.0729212818008979
2016-02-11,603290.0,609610,603515,605430,3896049,-1.2715333660030348
2016-02-12,597455.0,605495,587075,593325,3267971,-1.201393799444696
2016-02-15,598400.0,599450,592075,595085,5760494,0.5523760567806589
2016-02-16,605340.0,602195,595665,599915,5131982,0.7206982373270143
2016-02-17,602215.0,606990,595965,598615,3408425,-0.324288759980816
2016-02-18,603245.0,606320,599615,603800,3275052,0.7196530306302756
2016-02-19,607235.0,606950,601445,605685,4728074,0.2348380662174246
2016-02-22,610235.0,610460,603640,607465,2904586,0.1768946083503459
2016-02-23,606570.0,614920,604385,609825,3640580,0.1848454030367285
2016-02-24,607530.0,608625,603345,605860,3479632,-0.3765868789896444
2016-02-25,608855.0,610185,604700,607440,2783114,0.2633365807073547
2016-02-26,627895.0,630075,625425,627015,3767191,0.0488319082384603
2016-02-29,633460.0,630330,624555,627395,3820029,-0.0183519696659003
2016-03-02,636775.0,636425,630790,634430,3980547,0.9024261152675952
2016-03-03,637170.0,639390,632995,636685,3885316,0.3363537751392843
2016-03-04,637455.0,638700,633160,635870,3175933,-0.0002239720023764
2016-03-07,639050.0,640715,633265,636835,3400974,0.2622608148100951
2016-03-08,635140.0,641075,632800,635475,3722400,-0.140502852951333
2016-03-09,638015.0,637845,632735,635665,2386261,0.019383278366092
2016-03-10,638815.0,640275,635205,638395,2825479,0.3537600605004068
2016-03-11,641035.0,640755,634860,637440,3245904,-0.0948780664530603
2016-03-14,637670.0,642200,635830,637340,3154209,0.0080880048268783
2016-03-15,636160.0,639260,633875,635905,2961427,-0.1957223732312366
2016-03-16,639145.0,638680,632845,635280,2333511,-0.0421073653714911
2016-03-17,663250.0,662775,656605,659555,2156915,0.454897127187935
2016-03-18,663955.0,665430,659135,661470,2696486,0.2343486229185004
2016-03-21,663075.0,666020,659115,661560,2575644,-0.0446196089116933
2016-03-22,662480.0,664925,659465,661845,2575857,0.0715306235975568
2016-03-23,659395.0,664045,659645,661195,1669402,-0.0591718567733258
2016-03-24,657865.0,660990,655280,657935,2442391,-0.3702902751701794
2016-03-25,659720.0,661200,655425,658540,1780473,0.0388836103411034
2016-03-28,658565.0,661210,655935,657340,2069740,-0.1234611941762254
2016-03-29,661970.0,661025,655145,658390,2091698,0.0940924635366993
2016-03-30,663135.0,664345,658360,661615,2176964,0.2840954873066308
2016-03-31,660495.0,664140,658220,660110,1868901,-0.1690741444248072
2016-04-01,658930.0,662870,654325,657775,2505855,-0.2378870271133228
2016-04-04,658925.0,661280,655520,658625,2471341,0.034711953163762
2016-04-05,656865.0,660845,654880,657800,2402496,-0.1146314857216746
2016-04-06,658615.0,659165,653860,656655,1642841,-0.0371290317937356
2016-04-07,655255.0,660670,655480,658060,2327724,0.2253522106765569
2016-04-08,658485.0,658280,652220,656125,1806930,-0.1693880032818566
2016-04-11,656670.0,660190,653630,656195,2668224,0.0718311096572218
2016-04-12,663315.0,658545,653455,656040,4420173,0.0122571852872479
2016-04-14,664010.0,667000,658390,662890,5696557,0.7327551623862094
2016-04-15,660750.0,665880,660160,662430,3835954,-0.0201674583446996
2016-04-18,664110.0,664250,656890,661260,3232523,-0.1432818549385052
2016-04-19,664280.0,666205,659635,662385,2703954,0.1909334063548519
2016-04-20,663460.0,667030,657995,660695,3593383,-0.1345799564115365
2016-04-21,663300.0,666685,659475,664420,2739036,0.4187021332266802
2016-04-22,723365.0,725780,719635,722670,3584017,-0.2256173860584991
2016-04-25,722445.0,725270,719470,722875,2947708,0.0193983245038998
2016-04-26,724555.0,725140,718205,720985,2560702,-0.1348176065749642
2016-04-27,725595.0,727005,720445,723045,5004507,0.1655317304049302
2016-04-28,723105.0,727310,720910,722645,4561580,-0.0635861485541196
2016-04-29,720890.0,724920,718530,721940,2884148,-0.1097858368559993
2016-05-02,718590.0,722390,716610,718280,3181941,-0.3603897517263209
2016-05-03,715210.0,722915,715115,720095,2407006,0.2247447948087948
2016-05-04,715475.0,717195,711935,714320,3932805,-0.4879062021384422
2016-05-09,711315.0,717610,710350,713220,3023925,-0.1519161638267392
2016-05-10,717370.0,715005,708270,713045,2255258,0.0970826195755856
2016-05-11,717620.0,719040,714110,716825,2912218,0.3319288043898376
2016-05-12,719455.0,721010,714765,719120,2985356,0.1519347545384063
2016-05-13,717790.0,721230,715335,717865,2327634,-0.138798663726472
2016-05-16,720845.0,720525,713765,717705,3665372,-0.0323104704743189
2016-05-17,717670.0,722265,716315,718545,2484256,0.0010224457504657
2016-05-18,714470.0,718945,712620,715045,5192405,-0.3956878638732126
2016-05-19,712075.0,715750,708220,710550,2938568,-0.3890670448145603
2016-05-20,714535.0,715190,710305,713530,3641941,0.2381918166097403
2016-05-23,715105.0,716895,711700,714515,3422123,0.184931599061692
2016-05-24,717420.0,715865,710155,711525,2415484,-0.3037704128372644
2016-05-25,718895.0,719375,714565,716885,2735018,0.489240629301167
2016-05-26,718170.0,720935,715315,717375,2399042,-0.0100075573231129
2016-05-27,761570.0,762380,757110,760420,2631984,0.2452603643677453
2016-05-30,762805.0,764055,757850,761550,2929459,0.1250330908183178
2016-05-31,764420.0,767115,760395,765820,2216261,0.4116290235714945
2016-06-01,764260.0,766865,761070,763645,1465826,-0.129098661336268
2016-06-02,764160.0,765955,761045,763195,1637250,-0.0724411663354028
2016-06-03,765470.0,765875,761140,763440,2080414,0.0156159801455375
2016-06-07,769435.0,768355,763245,766440,2091493,0.2943380727048008
2016-06-08,774995.0,772450,765895,770750,2705209,0.3420219680476737
2016-06-09,771895.0,776755,771215,773560,4011987,0.197774466431158
2016-06-10,764565.0,773730,767905,770700,2307909,-0.1475446209947714
2016-06-13,757385.0,766285,758915,761375,2151089,-0.7959824967942098
2016-06-14,754775.0,759100,753050,756705,2487528,-0.4893733409643164
2016-06-15,754495.0,756565,750635,753425,2502151,-0.3055647706612374
2016-06-16,750055.0,755950,747940,750020,2498047,-0.3265884056155356
2016-06-17,754215.0,752785,745710,748150,2326146,-0.1379948376829541
2016-06-20,757855.0,757300,749815,754555,2593587,0.5760898390890091
2016-06-21,758515.0,760020,754140,756985,2253896,0.2111348272692247
2016-06-22,758290.0,761345,755975,759205,2289325,0.2009572694619702
2016-06-23,758555.0,759440,754700,757180,2353203,-0.1262288016127098
2016-06-24,736365.0,764715,733610,744255,5450388,-1.2289884137462384
2016-06-27,735855.0,743335,734305,740900,3272383,-0.3209345011543348
2016-06-28,744665.0,741815,733520,739560,3830078,-0.0900360143532637
